id,date,count
1,25.04.2017,1
2,26.04.2017,1
3,28.04.2017,2
4,29.04.2017,1
5,30.04.2017,0
6,30.04.2017,0
7,01.05.2017,0
8,02.05.2017,0
9,03.05.2017,0
10,04.05.2017,1
11,05.05.2017,1
12,06.05.2017,1
13,07.05.2017,1
14,08.05.2017,0
15,09.05.2017,0
16,10.05.2017,0
17,11.05.2017,0
18,12.05.2017,0
19,13.05.2017,1
20,14.05.2017,0
21,15.05.2017,0
22,16.05.2017,0
23,17.05.2017,0
24,18.05.2017,0
25,19.05.2017,1
26,20.05.2017,0
27,21.05.2017,1
28,22.05.2017,1
29,23.05.2017,0
30,24.05.2017,2
31,25.05.2017,0
32,26.05.2017,1
33,27.05.2017,0
34,28.05.2017,1
35,29.05.2017,0
36,30.05.2017,0
37,01.06.2017,2
38,02.06.2017,0
39,03.06.2017,1
40,04.06.2017,0
41,05.06.2017,1
42,06.06.2017,1
43,07.06.2017,0
44,08.06.2017,0
45,09.06.2017,1
